step,target_mass_code,lambda,residual_code,derivative_code,iterations,newton_steps,bisection_steps,Y_star_min,Y_star_max,lambda_lower,lambda_upper,accepted_zero_mode_steps
42,4.46608079999958049e+05,-1.49407432433139830e-06,1.07917003333568573e-07,9.80461488843890693e+04,1,1,0,-5.02286297770400836e+00,-4.57061296790596838e+00,-1.49771370222959916e+01,0.00000000000000000e+00,42
43,4.46608079999958049e+05,-3.92758013199682429e-06,0.00000000000000000e+00,9.81369180054147728e+04,2,2,0,-5.02045470405782357e+00,-4.56982032136332172e+00,-1.49795452959421773e+01,-3.92757252454924936e-06,43
44,4.46608079999958049e+05,-5.23145466775015503e-06,0.00000000000000000e+00,9.82272862886954390e+04,2,2,0,-5.01856109968001896e+00,-4.56930672460555165e+00,-1.49814389003199810e+01,-5.23144116993146959e-06,44
45,4.46608079999958049e+05,-5.56175566687214637e-06,0.00000000000000000e+00,9.83172200424928742e+04,2,2,0,-5.01694168804443930e+00,-4.56904665898843820e+00,-1.49830583119555598e+01,-5.56174041061069582e-06,45
46,4.46608079999958049e+05,-5.14116725717137014e-06,0.00000000000000000e+00,9.84067589853632380e+04,2,2,0,-5.01568228920263426e+00,-4.56901496216553671e+00,-1.49843177107973666e+01,-5.14115422286326905e-06,46
47,4.46608079999958049e+05,-4.21457064273727810e-06,0.00000000000000000e+00,9.84959923248603154e+04,2,2,0,-5.01521129031103463e+00,-4.56918648215227829e+00,-1.49847887096889654e+01,-4.21456188345753773e-06,47
48,4.46608079999958049e+05,-3.02340748494694363e-06,4.44357283413410187e-07,9.85850351145977329e+04,1,1,0,-5.01523931596608463e+00,-4.56953585680642416e+00,-1.49847606840339154e+01,0.00000000000000000e+00,48
49,4.46608079999958049e+05,-1.77471793491432566e-06,1.53260771185159683e-07,9.86740079465765157e+04,1,1,0,-5.01571019459685807e+00,-4.56998328531912179e+00,-1.49842898054031419e+01,0.00000000000000000e+00,49
50,4.46608079999958049e+05,-6.34998112031839534e-07,1.96741893887519836e-08,9.87630206020783080e+04,1,1,0,-5.01656312552232642e+00,-4.56896931104996984e+00,-1.49834368744776736e+01,0.00000000000000000e+00,50
51,4.46608079999958049e+05,2.83204082895218990e-07,3.95812094211578369e-09,9.88521610003784590e+04,1,1,0,-5.01771571358039736e+00,-4.56818152961766000e+00,0.00000000000000000e+00,2.45681815296176609e+01,51
52,4.46608079999958049e+05,9.14232157122375023e-07,4.07453626394271851e-08,9.89414887643104594e+04,1,1,0,-5.01907239701650543e+00,-4.56759319893733373e+00,0.00000000000000000e+00,2.45675931989373346e+01,52
53,4.46608079999958049e+05,1.23832572357247875e-06,7.48550519347190857e-08,9.90310333133595268e+04,1,1,0,-5.02053268349413173e+00,-4.56717896104189691e+00,0.00000000000000000e+00,2.45671789610418969e+01,53
54,4.46608079999958049e+05,1.26951362119337640e-06,7.88131728768348694e-08,9.91207952924940619e+04,1,1,0,-5.02199866465495770e+00,-4.56691604734101819e+00,0.00000000000000000e+00,2.45669160473410173e+01,54
55,4.46608079999958049e+05,1.04976522018415844e-06,5.39585016667842865e-08,9.92107507590970781e+04,1,1,0,-5.02338142165541690e+00,-4.56678504986885070e+00,0.00000000000000000e+00,2.45667850498688516e+01,55
56,4.46608079999958049e+05,6.34222596135640380e-07,1.96741893887519836e-08,9.93008566654590541e+04,1,1,0,-5.02460604346600981e+00,-4.56677021853426890e+00,0.00000000000000000e+00,2.45667702185342698e+01,56
57,4.46608079999958049e+05,8.94071921700894398e-08,3.49245965480804443e-10,9.93910574583572743e+04,1,1,0,-5.02561511580071496e+00,-4.56685933124303833e+00,0.00000000000000000e+00,2.45668593312430374e+01,57
58,4.46608079999958049e+05,-5.21362306985204090e-07,1.33295543491840363e-08,9.94812913504617463e+04,1,1,0,-5.02637063838515985e+00,-4.56704321599045127e+00,-1.49736293616148401e+01,0.00000000000000000e+00,58
59,4.46608079999958049e+05,-1.13792305182409616e-06,6.35627657175064087e-08,9.95714962690610264e+04,1,1,0,-5.02685444516858482e+00,-4.56731507463034614e+00,-1.49731455548314152e+01,0.00000000000000000e+00,59
60,4.46608079999958049e+05,-1.70922312542585705e-06,1.43481884151697159e-07,9.96616148935572710e+04,1,1,0,-5.02706724602327171e+00,-4.56766972634305723e+00,-1.49729327539767283e+01,0.00000000000000000e+00,60
61,4.46608079999958049e+05,-2.19540868459611461e-06,2.37138010561466217e-07,9.97515985771060368e+04,1,1,0,-5.02702652769221192e+00,-4.56810289878203690e+00,-1.49729734723077890e+01,0.00000000000000000e+00,61
62,4.46608079999958049e+05,-2.57068222492787177e-06,3.25322616845369339e-07,9.98414098704186617e+04,1,1,0,-5.02676355789394957e+00,-4.56861064330692912e+00,-1.49732364421060495e+01,0.00000000000000000e+00,62
63,4.46608079999958049e+05,-2.82060253487075477e-06,3.92028596252202988e-07,9.99310239184790989e+04,1,1,0,-5.02664710644130341e+00,-4.56881923164179948e+00,-1.49733528935586975e+01,0.00000000000000000e+00,63
64,4.46608079999958049e+05,-2.94306342990709313e-06,4.27127815783023834e-07,1.00020428633879754e+05,1,1,0,-5.02668262306726543e+00,-4.56900137739463830e+00,-1.49733173769327337e+01,0.00000000000000000e+00,64
65,4.46608079999958049e+05,-2.94640343740590236e-06,4.28466591984033585e-07,1.00109623834961822e+05,1,1,0,-5.02657203084710780e+00,-4.56927743931369967e+00,-1.49734279691528922e+01,0.00000000000000000e+00,65
66,4.46608079999958049e+05,-2.84734488620639124e-06,4.00526914745569229e-07,1.00198619553529599e+05,1,1,0,-5.02635914536217676e+00,-4.56964347302009433e+00,-1.49736408546378232e+01,0.00000000000000000e+00,66
67,4.46608079999958049e+05,-2.66875295557645536e-06,3.52156348526477814e-07,1.00287433733963291e+05,1,1,0,-5.02608748390054938e+00,-4.57009540265955660e+00,-1.49739125160994497e+01,0.00000000000000000e+00,67
68,4.46608079999958049e+05,-2.43697026765180621e-06,2.93948687613010406e-07,1.00376089588132949e+05,1,1,0,-5.02579753456730760e+00,-4.57062880469634703e+00,-1.49742024654326933e+01,0.00000000000000000e+00,68
69,4.46608079999958049e+05,-2.17908362638204799e-06,2.35217157751321793e-07,1.00464612877597028e+05,1,1,0,-5.02552453341120486e+00,-4.57123875731352047e+00,-1.49744754665887960e+01,0.00000000000000000e+00,69
70,4.46608079999958049e+05,-1.92107976943379850e-06,1.83004885911941528e-07,1.00553029306035372e+05,1,1,0,-5.02529684533770560e+00,-4.57191974582233840e+00,-1.49747031546622935e+01,0.00000000000000000e+00,70
71,4.46608079999958049e+05,-1.68603158030569634e-06,1.41095370054244995e-07,1.00641362202933495e+05,1,1,0,-5.02513498534979153e+00,-4.57266561644891301e+00,-1.49748650146502094e+01,0.00000000000000000e+00,71
72,4.46608079999958049e+05,-1.49351039003084806e-06,1.10769178718328476e-07,1.00729630556955643e+05,1,1,0,-5.02505127907269955e+00,-4.57346958402964532e+00,-1.49749487209273013e+01,0.00000000000000000e+00,72
73,4.46608079999958049e+05,-1.35598824775310298e-06,9.14442352950572968e-08,1.00817847761376688e+05,1,1,0,-5.02505009990098728e+00,-4.57432429838211174e+00,-1.49749499000990127e+01,0.00000000000000000e+00,73
74,4.46608079999958049e+05,-1.28227685177587665e-06,8.18399712443351746e-08,1.00906020726725750e+05,1,1,0,-5.02512860682800522e+00,-4.57522196566352957e+00,-1.49748713931719948e+01,0.00000000000000000e+00,74
75,4.46608079999958049e+05,-1.27544288945786952e-06,8.10250639915466309e-08,1.00994149571746631e+05,1,1,0,-5.02527787611317578e+00,-4.57450183248980746e+00,-1.49747221238868242e+01,0.00000000000000000e+00,75
76,4.46608079999958049e+05,-1.33397750218577209e-06,8.87084752321243286e-08,1.01082227775869178e+05,1,1,0,-5.02548429177336153e+00,-4.57375802048022528e+00,-1.49745157082266385e+01,0.00000000000000000e+00,76
77,4.46608079999958049e+05,-1.45262519085497428e-06,1.05239450931549072e-07,1.01170242710623104e+05,1,1,0,-5.02573107610325298e+00,-4.57268399581163454e+00,-1.49742689238967479e+01,0.00000000000000000e+00,77
78,4.46608079999958049e+05,-1.62288126810849833e-06,1.31432898342609406e-07,1.01258176500021596e+05,1,1,0,-5.02599984379127562e+00,-4.57170279278417624e+00,-1.49740001562087244e+01,0.00000000000000000e+00,78
79,4.46608079999958049e+05,-1.83577488701299404e-06,1.68452970683574677e-07,1.01346006928538380e+05,1,1,0,-5.02627206475772592e+00,-4.57080985292038378e+00,-1.49737279352422732e+01,0.00000000000000000e+00,79
80,4.46608079999958049e+05,-2.08034462538233225e-06,2.16357875615358353e-07,1.01433708550070296e+05,1,1,0,-5.02653035738836707e+00,-4.57000037658376890e+00,-1.49734696426116329e+01,0.00000000000000000e+00,80
81,4.46608079999958049e+05,-2.34701597018129369e-06,2.75671482086181641e-07,1.01521253655353124e+05,1,1,0,-5.02675954872755160e+00,-4.56926941674704068e+00,-1.49732404512724493e+01,0.00000000000000000e+00,81
82,4.46608079999958049e+05,-2.62588674582975582e-06,3.45346052199602127e-07,1.01608613270650443e+05,1,1,0,-5.02694745698907219e+00,-4.56861199656416250e+00,-1.49730525430109278e+01,0.00000000000000000e+00,82
83,4.46608079999958049e+05,-2.90967051623469340e-06,4.24450263381004333e-07,1.01695757888772394e+05,1,1,0,-5.02708538157294615e+00,-4.56802324108339608e+00,-1.49729146184270547e+01,0.00000000000000000e+00,83
84,4.46608079999958049e+05,-3.19111871642680334e-06,0.00000000000000000e+00,1.01782658193811774e+05,2,2,0,-5.02716830319949892e+00,-4.56749851497253712e+00,-1.49728316968005011e+01,-3.19111369759116617e-06,84
85,4.46608079999958049e+05,-3.46656203960614527e-06,0.00000000000000000e+00,1.01869285420426313e+05,2,2,0,-5.02719481603383045e+00,-4.56703354658320215e+00,-1.49728051839661696e+01,-3.46655611594801635e-06,85
86,4.46608079999958049e+05,-3.73162730561901277e-06,0.00000000000000000e+00,1.01955611783546570e+05,2,2,0,-5.02716683280543641e+00,-4.56662453719212280e+00,-1.49728331671945636e+01,-3.73162044154655089e-06,86
87,4.46608079999958049e+05,-3.98545455455335085e-06,0.00000000000000000e+00,1.02041610550861733e+05,2,2,0,-5.02708909726280329e+00,-4.56626822725289827e+00,-1.49729109027371976e+01,-3.98544672539285724e-06,87
88,4.46608079999958049e+05,-4.22754095842613581e-06,0.00000000000000000e+00,1.02127256080164254e+05,2,2,0,-5.02696857288356469e+00,-4.56596192970028181e+00,-1.49730314271164353e+01,-4.22753214867397725e-06,88
89,4.46608079999958049e+05,-4.45772303807459103e-06,5.82076609134674072e-11,1.02212523824809730e+05,2,2,0,-5.02681375089558369e+00,-4.56570351829834564e+00,-1.49731862491044154e+01,-4.45771324364312033e-06,89
90,4.46608079999958049e+05,-4.67766981529282818e-06,0.00000000000000000e+00,1.02297390155839297e+05,2,2,0,-5.02663393998953190e+00,-4.56549137720422493e+00,-1.49733660600104681e+01,-4.67765903038420732e-06,90
91,4.46608079999958049e+05,-4.88822937890944456e-06,0.00000000000000000e+00,1.02381832272040032e+05,2,2,0,-5.02643858133849974e+00,-4.56532432856638248e+00,-1.49735614186615003e+01,-4.88821760113719039e-06,91
92,4.46608079999958049e+05,-5.09087757034795054e-06,0.00000000000000000e+00,1.02465828050307638e+05,2,2,0,-5.02627010818344822e+00,-4.56520153826546249e+00,-1.49737298918165518e+01,-5.09086479561218218e-06,92
93,4.46608079999958049e+05,-5.28608343518049450e-06,0.00000000000000000e+00,1.02549356003322566e+05,2,2,0,-5.02622510485996976e+00,-4.56512241738019764e+00,-1.49737748951400302e+01,-5.28606966278114008e-06,93
94,4.46608079999958049e+05,-5.47502454595343096e-06,0.00000000000000000e+00,1.02632395168569405e+05,2,2,0,-5.02616893328195413e+00,-4.56508652597754594e+00,-1.49738310667180450e+01,-5.47500977120543860e-06,94
95,4.46608079999958049e+05,-5.65735727786373407e-06,0.00000000000000000e+00,1.02714925156390134e+05,2,2,0,-5.02610743659350234e+00,-4.56509349064153280e+00,-1.49738925634064977e+01,-5.65734150344296045e-06,95
96,4.46608079999958049e+05,-5.83249005918839209e-06,0.00000000000000000e+00,1.02796926226029886e+05,2,2,0,-5.02604544738148462e+00,-4.56514292810446065e+00,-1.49739545526185154e+01,-5.83247329227608674e-06,96
97,4.46608079999958049e+05,-5.99853718404762065e-06,0.00000000000000000e+00,1.02878379496315785e+05,2,2,0,-5.02598662732396129e+00,-4.56523438820363925e+00,-1.49740133726760387e+01,-5.99851944876302641e-06,97
98,4.46608079999958049e+05,-6.15472412175175218e-06,0.00000000000000000e+00,1.02959267043465923e+05,2,2,0,-5.02593339212667178e+00,-4.56406203589535142e+00,-1.49740666078733291e+01,-6.15470545174904912e-06,98
99,4.46608079999958049e+05,-6.29820913253778354e-06,0.00000000000000000e+00,1.03039572211673541e+05,2,2,0,-5.02588693259812480e+00,-4.56267820147987901e+00,-1.49741130674018752e+01,-6.29818958283976012e-06,99
100,4.46608079999958049e+05,-6.42599064795846905e-06,0.00000000000000000e+00,1.03119279940437089e+05,2,2,0,-5.02584730753497055e+00,-4.56138276646536855e+00,-1.49741526924650294e+01,-6.42597029658472273e-06,100
101,4.46608079999958049e+05,-6.53699517187997385e-06,-5.82076609134674072e-11,1.03198376892838656e+05,2,2,0,-5.02581359760052848e+00,-4.56017296287653728e+00,-1.49741864023994715e+01,-6.53697411075358885e-06,101
102,4.46608079999958049e+05,-6.62821150778250158e-06,-1.16415321826934814e-10,1.03276851782473532e+05,2,2,0,-5.02578410474800918e+00,-4.55904615673268498e+00,-1.49742158952519908e+01,-6.62818985508997318e-06,102
103,4.46608079999958049e+05,-6.69724447504847198e-06,5.82076609134674072e-11,1.03354695635762895e+05,2,2,0,-5.02575657703444989e+00,-4.55799985809632346e+00,-1.49742434229655501e+01,-6.69722237009545771e-06,103
104,4.46608079999958049e+05,-6.74342283119156499e-06,0.00000000000000000e+00,1.03431901874904681e+05,2,2,0,-5.02572844139641095e+00,-4.55703172970029158e+00,-1.49742715586035899e+01,-6.74340041971264824e-06,104
105,4.46608079999958049e+05,-6.76576241508664831e-06,-5.82076609134674072e-11,1.03508466431078501e+05,2,2,0,-5.02569702987962508e+00,-4.55613958953394782e+00,-1.49743029701203749e+01,-6.76573985485538408e-06,105
106,4.46608079999958049e+05,-6.76407483215831335e-06,5.82076609134674072e-11,1.03584387773422335e+05,2,2,0,-5.02565978470437091e+00,-4.55532140449812850e+00,-1.49743402152956300e+01,-6.76405228452884617e-06,106
107,4.46608079999958049e+05,-6.73952061366402104e-06,-5.82076609134674072e-11,1.03659666796203237e+05,2,2,0,-5.02561443159435850e+00,-4.55457527640342175e+00,-1.49743855684056406e+01,-6.73949822896738484e-06,107
108,4.46608079999958049e+05,-6.69287405393973955e-06,0.00000000000000000e+00,1.03734306743697045e+05,2,2,0,-5.02555911558717394e+00,-4.55389942160603578e+00,-1.49744408844128252e+01,-6.69285197937779224e-06,108
109,4.46608079999958049e+05,-6.62677800414444629e-06,0.00000000000000000e+00,1.03808312939303956e+05,2,2,0,-5.02549249548565680e+00,-4.55329214152838535e+00,-1.49745075045143423e+01,-6.62675636249728935e-06,109
110,4.46608079999958049e+05,-6.54370952326700559e-06,0.00000000000000000e+00,1.03881692529799911e+05,2,2,0,-5.02541379723033987e+00,-4.55275179466191116e+00,-1.49745862027696610e+01,-6.54368842193289239e-06,110
111,4.46608079999958049e+05,-6.44673427539759681e-06,1.16415321826934814e-10,1.03954454166715092e+05,2,2,0,-5.02532282910063532e+00,-4.55227676585326790e+00,-1.49746771708993656e+01,-6.44671379524191155e-06,111
112,4.46608079999958049e+05,-6.33810167053634111e-06,0.00000000000000000e+00,1.04026607771048817e+05,2,2,0,-5.02521995643849273e+00,-4.55186543938044075e+00,-1.49747800435615073e+01,-6.33808187436227052e-06,112
113,4.46608079999958049e+05,-6.22249319405135541e-06,-1.16415321826934814e-10,1.04098164044483652e+05,2,2,0,-5.02510605171093960e+00,-4.55151617718521617e+00,-1.49748939482890613e+01,-6.22247411323240693e-06,113
114,4.46608079999958049e+05,-6.10156908156714120e-06,0.00000000000000000e+00,1.04169134293736395e+05,2,2,0,-5.02498242670556916e+00,-4.55122730964573563e+00,-1.49750175732944300e+01,-6.10155073625085915e-06,114
115,4.46608079999958049e+05,-5.97877423141643830e-06,0.00000000000000000e+00,1.04239530069341796e+05,2,2,0,-5.02485074262668086e+00,-4.55099713094005320e+00,-1.49751492573733191e+01,-5.97875661659543664e-06,115
116,4.46608079999958049e+05,-5.85747913205030310e-06,5.82076609134674072e-11,1.04309362811965431e+05,2,2,0,-5.02471292057621799e+00,-4.55082390916591084e+00,-1.49752870794237829e+01,-5.85746222600038139e-06,116
117,4.46608079999958049e+05,-5.73829348251249437e-06,0.00000000000000000e+00,1.04378643786529035e+05,2,2,0,-5.02457105438667906e+00,-4.55070590486701310e+00,-1.49754289456133201e+01,-5.73827725631671181e-06,117
118,4.46608079999958049e+05,-5.62378066131919536e-06,0.00000000000000000e+00,1.04447383813234730e+05,2,2,0,-5.02442732081506360e+00,-4.55064138942300023e+00,-1.49755726791849355e+01,-5.62376507721387550e-06,118
119,4.46608079999958049e+05,-5.51507273270360964e-06,5.82076609134674072e-11,1.04515593148087166e+05,2,2,0,-5.02428390831767580e+00,-4.55062867761624545e+00,-1.49757160916823242e+01,-5.51505774521403365e-06,119
120,4.46608079999958049e+05,-5.41251850014807495e-06,0.00000000000000000e+00,1.04583281445466360e+05,2,2,0,-5.02414295708890890e+00,-4.55066615403697039e+00,-1.49758570429110911e+01,-5.41250406501205167e-06,120
121,4.46608079999958049e+05,-5.31704309659142353e-06,0.00000000000000000e+00,1.04650457660691201e+05,2,2,0,-5.02400651278323718e+00,-4.55075229697946337e+00,-1.49759934872167619e+01,-5.31702916686103801e-06,121
122,4.46608079999958049e+05,-5.22864311068548778e-06,1.16415321826934814e-10,1.04717130049523257e+05,2,2,0,-5.02387650209443404e+00,-4.55088569996402370e+00,-1.49761234979055651e+01,-5.22862964006751039e-06,122
123,4.46608079999958049e+05,-5.14713143131052441e-06,-1.16415321826934814e-10,1.04783306186594695e+05,2,2,0,-5.02375471595199130e+00,-4.55005619011595108e+00,-1.49762452840480087e+01,-5.14711837638518483e-06,123
124,4.46608079999958049e+05,-5.07140259926767009e-06,0.00000000000000000e+00,1.04848993079576758e+05,2,2,0,-5.02364280755733450e+00,-4.54919999338416581e+00,-1.49763571924426664e+01,-5.07138992725214629e-06,124
125,4.46608079999958049e+05,-5.00242407109888212e-06,0.00000000000000000e+00,1.04914197065800865e+05,2,2,0,-5.02354229845415823e+00,-4.54842301724092035e+00,-1.49764577015458418e+01,-5.00241174040103577e-06,125
