grid,N,K,configuration,source_exact_cudaMalloc_bytes,source_exact_cudaMalloc_GiB,cufft_workspace_bytes,cuda_context_bytes,observed_peak_loss_bytes,device_total_bytes,admission_limit_bytes,source_allocation_headroom_bytes,admission_85pct_status,evidence_status
128x128x128,2097152,1064960,PF_ONLY,689963880,0.6425789371132851,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,13840730468,PENDING_CUFFT_CONTEXT_AND_OBSERVED_PEAK,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
128x128x128,2097152,1064960,PF_ELASTIC,1204028264,1.121338702738285,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,13326666084,PENDING_CUFFT_CONTEXT_AND_OBSERVED_PEAK,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
128x128x128,2097152,1064960,PF_ELASTIC_STATIC_GP_RESERVOIR,1204028264,1.121338702738285,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,13326666084,PENDING_CUFFT_CONTEXT_OBSERVED_PEAK_AND_S3_GATE,SOURCE_EXACT_DEVICE_FIELDS_GP_SITE_VECTOR_HOST_ONLY
192x192x192,7077888,3575808,PF_ONLY,2326857160,2.1670546010136604,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,12203837188,PENDING_CUFFT_CONTEXT_AND_OBSERVED_PEAK,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
192x192x192,7077888,3575808,PF_ELASTIC,4059170248,3.7803968861699104,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,10471524100,PENDING_CUFFT_CONTEXT_AND_OBSERVED_PEAK,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
192x192x192,7077888,3575808,PF_ELASTIC_STATIC_GP_RESERVOIR,4059170248,3.7803968861699104,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,10471524100,PENDING_CUFFT_CONTEXT_OBSERVED_PEAK_AND_S3_GATE,SOURCE_EXACT_DEVICE_FIELDS_GP_SITE_VECTOR_HOST_ONLY
256x256x256,16777216,8454144,PF_ONLY,5513415272,5.134768106043339,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,9017279076,PENDING_CUFFT_CONTEXT_AND_OBSERVED_PEAK,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
256x256x256,16777216,8454144,PF_ELASTIC,9616493160,8.956057168543339,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,4914201188,PENDING_CUFFT_CONTEXT_AND_OBSERVED_PEAK,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
256x256x256,16777216,8454144,PF_ELASTIC_STATIC_GP_RESERVOIR,9616493160,8.956057168543339,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,4914201188,PENDING_CUFFT_CONTEXT_OBSERVED_PEAK_AND_S3_GATE,SOURCE_EXACT_DEVICE_FIELDS_GP_SITE_VECTOR_HOST_ONLY
320x320x320,32768000,16486400,PF_ONLY,10765931016,10.026554591953754,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,3764763332,PENDING_CUFFT_CONTEXT_AND_OBSERVED_PEAK,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
320x320x320,32768000,16486400,PF_ELASTIC,18776068616,17.486576564610004,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,-4245374267,FAIL_SOURCE_ALLOCATIONS_EXCEED_85PCT,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
320x320x320,32768000,16486400,PF_ELASTIC_STATIC_GP_RESERVOIR,18776068616,17.486576564610004,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,-4245374267,FAIL_SOURCE_ALLOCATIONS_EXCEED_85PCT_AND_S3_GATED,SOURCE_EXACT_DEVICE_FIELDS_GP_SITE_VECTOR_HOST_ONLY
400x400x400,64000000,32160000,PF_ONLY,21023368432,19.579537615180016,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,-6492674083,FAIL_SOURCE_ALLOCATIONS_EXCEED_85PCT,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
400x400x400,64000000,32160000,PF_ELASTIC,36662408432,34.14452861249447,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,-22131714083,FAIL_SOURCE_ALLOCATIONS_EXCEED_85PCT,SOURCE_EXACT_EXCLUDING_CUFFT_CONTEXT
400x400x400,64000000,32160000,PF_ELASTIC_STATIC_GP_RESERVOIR,36662408432,34.14452861249447,PENDING_TARGET_GPU_QUERY,PENDING_TARGET_GPU_MEASUREMENT,PENDING_TARGET_GPU_MEASUREMENT,17094934528,14530694348,-22131714083,FAIL_SOURCE_ALLOCATIONS_EXCEED_85PCT_AND_S3_GATED,SOURCE_EXACT_DEVICE_FIELDS_GP_SITE_VECTOR_HOST_ONLY
