file_name,old_path,new_path,file_type,read_write_path,status
comparison_summary.md,comparison_summary.md,reports/validation/comparison_summary.md,md,write,moved
nucleation_physics_observables_report.md,nucleation_physics_observables_report.md,reports/nucleation/nucleation_physics_observables_report.md,md,write,moved
nucleus_energy_output_index.md,nucleus_energy_output_index.md,reports/nucleation/nucleus_energy_output_index.md,md,write,moved
nucleus_selector_integration_report.md,nucleus_selector_integration_report.md,reports/nucleation/nucleus_selector_integration_report.md,md,write,moved
quantitative_validation_summary.md,quantitative_validation_summary.md,reports/validation/quantitative_validation_summary.md,md,write,moved
validation_layer_report.md,validation_layer_report.md,reports/validation/validation_layer_report.md,md,write,moved
validation_minimal_loop_report.md,validation_minimal_loop_report.md,reports/validation/validation_minimal_loop_report.md,md,write,moved
cnt_prediction_table.csv,cnt_prediction_table.csv,reports/cnt/cnt_prediction_table.csv,csv,write,moved
comparison_report.csv,comparison_report.csv,reports/validation/comparison_report.csv,csv,write,moved
continuous_physics_summary.csv,continuous_physics_summary.csv,reports/validation/continuous_physics_summary.csv,csv,read,moved
cuda_nucleation_observation.csv,cuda_nucleation_observation.csv,reports/data/cuda_nucleation_observation.csv,csv,write,moved
cuda_nucleation_spatial_density.csv,cuda_nucleation_spatial_density.csv,reports/data/cuda_nucleation_spatial_density.csv,csv,write,moved
cuda_nucleation_time_histogram.csv,cuda_nucleation_time_histogram.csv,reports/data/cuda_nucleation_time_histogram.csv,csv,write,moved
external_prediction_validation.csv,external_prediction_validation.csv,reports/gp/external_prediction_validation.csv,csv,write,moved
gp_effect_analysis.csv,gp_effect_analysis.csv,reports/nucleation/gp_effect_analysis.csv,csv,write,moved
gp_validation_report.csv,gp_validation_report.csv,reports/gp/gp_validation_report.csv,csv,write,moved
normalized_cnt_prediction.csv,normalized_cnt_prediction.csv,reports/cnt/normalized_cnt_prediction.csv,csv,write,moved
normalized_nucleation_rate.csv,normalized_nucleation_rate.csv,reports/data/normalized_nucleation_rate.csv,csv,write,moved
nucleation_barrier_estimate.csv,nucleation_barrier_estimate.csv,reports/nucleation/nucleation_barrier_estimate.csv,csv,write,moved
nucleation_barrier_observed.csv,nucleation_barrier_observed.csv,reports/cnt/nucleation_barrier_observed.csv,csv,read,moved
nucleation_event_log.csv,nucleation_event_log.csv,reports/nucleation/nucleation_event_log.csv,csv,read+write,moved
nucleation_observation_table.csv,nucleation_observation_table.csv,reports/cnt/nucleation_observation_table.csv,csv,read,moved
nucleation_prediction_table.csv,nucleation_prediction_table.csv,reports/cnt/nucleation_prediction_table.csv,csv,read,moved
nucleation_rate_J.csv,nucleation_rate_J.csv,reports/nucleation/nucleation_rate_J.csv,csv,write,moved
nucleus_shape_statistics.csv,nucleus_shape_statistics.csv,reports/nucleation/nucleus_shape_statistics.csv,csv,write,moved
observed_barrier_reconstruction.csv,observed_barrier_reconstruction.csv,reports/validation/observed_barrier_reconstruction.csv,csv,write,moved
quantitative_validation_table.csv,quantitative_validation_table.csv,reports/validation/quantitative_validation_table.csv,csv,write,moved
validation_comparison_table.csv,validation_comparison_table.csv,reports/validation/validation_comparison_table.csv,csv,write,moved
